p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.0,6.98847035716004,0.219,0.005,0.0,3,9830107B12Rik
0.0,6.91106525518095,0.205,0.004,0.0,3,Scrg1
0.0,6.85625770159228,0.106,0.003,0.0,3,Ofcc1
0.0,6.83783908896144,0.623,0.022,0.0,3,Dhrs9
0.0,6.96240443831039,0.288,0.005,0.0,4,Dapl1
0.0,6.56335188928264,0.224,0.004,0.0,4,Gm14085
0.0,5.87819676620619,0.985,0.074,0.0,4,Lef1
0.0,5.37401884690551,0.446,0.013,0.0,4,Cd8b1
0.0,5.32236579879901,0.438,0.016,0.0,4,Nsg2
0.0,4.98158039349818,0.284,0.009,0.0,4,Cd8a
0.0,4.85807290074029,0.167,0.009,0.0,4,Vipr1
0.0,4.77527891004944,0.171,0.006,0.0,4,Gm44174
0.0,4.65874625764774,0.451,0.038,0.0,4,Tdrp
0.0,4.61443340657994,0.116,0.006,0.0,4,Siah3
0.0,4.53665467321903,0.872,0.076,0.0,4,Tcf7
0.0,4.51763149513497,0.733,0.075,0.0,4,Sidt1
0.0,4.50526810474414,0.962,0.078,0.0,4,Ms4a4b
0.0,4.50473263545399,0.468,0.03,0.0,4,St8sia1
0.0,4.49642914343433,0.194,0.014,0.0,4,A630014C17Rik
0.0,4.37801980182328,0.324,0.032,0.0,4,Myb
0.0,4.34072780812324,0.992,0.096,0.0,4,Itk
0.0,4.30698690626003,0.965,0.066,0.0,4,Gm2682
0.0,4.27214196280843,0.313,0.037,0.0,4,Neto2
0.0,4.22542678103268,0.818,0.197,0.0,4,Dusp10
0.0,6.00182905937102,0.725,0.411,0.0,5,Gm26917
0.0,4.6532655476594,0.186,0.039,0.0,5,Hist4h4
0.0,3.85555243850391,0.127,0.034,0.0,5,Hist1h1d
0.0,3.55832620935326,0.723,0.361,0.0,5,Bmp1
6.6785056591202705e-112,3.34882101104027,0.172,0.099,2.15615555204698e-107,5,2900060B14Rik
0.0,3.32788105804203,0.535,0.273,0.0,5,Rbpjl
9.918207798360061e-113,3.31108241265401,0.112,0.051,3.20209338770055e-108,5,A530020G20Rik
0.0,3.2844085122141,0.373,0.23,0.0,5,Tex14
0.0,3.20864951886648,0.81,0.628,0.0,5,Lars2
4.50422994070403e-127,3.18412140249642,0.194,0.115,1.4541906363563e-122,5,Tle2
0.0,3.0453598986614,0.298,0.146,0.0,5,Hist1h1e
1.982345964102e-68,2.77743330145712,0.188,0.133,6.40000394510332e-64,5,Nrbp2
7.544732205898021e-73,2.77698523210672,0.153,0.096,2.43581679267418e-68,5,Hist1h4d
3.80788823638484e-104,2.74591480376571,0.235,0.164,1.22937671711685e-99,5,Szt2
1.09355362950173e-16,2.73614688288753,0.178,0.165,3.5305378928463296e-12,5,Slc7a5
0.0,2.67394291207343,0.866,0.782,0.0,5,Cmss1
8.334523851478161e-44,2.64760560303501,0.147,0.105,2.69080102544972e-39,5,Gm9856
3.09618647905282e-51,2.64714975667836,0.146,0.099,9.99603804762203e-47,5,Slc26a4
5.3052727121237695e-42,2.59627602274076,0.101,0.063,1.71280729510916e-37,5,Snhg20
5.79459815421154e-155,2.56326738481256,0.31,0.225,1.8707860140872e-150,5,Cracr2a
0.0,7.21509036781669,0.27,0.006,0.0,6,Il17a
0.0,7.206132483179,0.232,0.003,0.0,6,Olfr60
0.0,7.09888423580363,0.14,0.004,0.0,6,Cd163l1
0.0,7.07320926105437,0.102,0.002,0.0,6,5830411N06Rik
0.0,7.0375916281987,0.219,0.004,0.0,6,Tcrg-C1
0.0,6.98238946238799,0.467,0.012,0.0,6,Il23r
0.0,6.81199976118355,0.347,0.007,0.0,6,Ccr4
0.0,6.7736713199036,0.124,0.004,0.0,6,Il17f
0.0,6.73971113370725,0.104,0.002,0.0,6,Trdv4
0.0,6.70043253894431,0.316,0.007,0.0,6,Tnfsf11
0.0,6.35710446236169,0.541,0.018,0.0,6,Cxcr6
0.0,6.18853075205584,0.449,0.015,0.0,6,Il2ra
0.0,6.17004991422457,0.118,0.003,0.0,6,B4galnt4
0.0,6.15145785468459,0.133,0.011,0.0,6,Il1rl1
0.0,6.1431856405498,0.364,0.012,0.0,6,Tnfrsf4
0.0,6.14226916949703,0.906,0.048,0.0,6,Icos
0.0,6.06815050494242,0.167,0.008,0.0,6,Trdc
0.0,6.02043077606642,0.434,0.023,0.0,6,Tnfsf8
0.0,5.98049251279214,0.162,0.004,0.0,6,Podnl1
0.0,5.94962573802866,0.394,0.016,0.0,6,Ankrd6
0.0,8.05565897909515,0.173,0.002,0.0,7,Ccl24
0.0,8.03591500956925,0.235,0.002,0.0,7,Cd163
0.0,7.87287359914741,0.568,0.017,0.0,7,C1qa
0.0,7.83398960052527,0.285,0.002,0.0,7,Fcrls
0.0,7.71201973534431,0.204,0.003,0.0,7,Ccl12
0.0,7.70081391218348,0.108,0.001,0.0,7,Fcna
0.0,7.59208902448972,0.173,0.008,0.0,7,Ccl8
0.0,7.59130199697164,0.566,0.017,0.0,7,C1qc
0.0,7.51200293552953,0.237,0.004,0.0,7,Folr2
0.0,7.50409220566347,0.576,0.018,0.0,7,C1qb
0.0,7.46281233665168,0.349,0.006,0.0,7,Ms4a7
0.0,7.46204586141287,0.104,0.001,0.0,7,Ms4a14
0.0,7.16492658641556,0.463,0.009,0.0,7,Mgl2
0.0,6.92390948299979,0.528,0.009,0.0,7,C3ar1
0.0,6.88924568886329,0.236,0.005,0.0,7,Cd209a
0.0,6.88004645236279,0.138,0.004,0.0,7,Mmp12
0.0,6.83917080671724,0.366,0.008,0.0,7,Clec10a
0.0,6.172551821744,0.116,0.002,0.0,7,Ptchd1
0.0,6.17044434233516,0.166,0.003,0.0,7,Hrh1
0.0,6.02541668577859,0.117,0.003,0.0,7,St18
0.0,9.60877724748526,0.75,0.005,0.0,8,C7
0.0,9.29317481817606,0.112,0.0,0.0,8,Agtr1b
0.0,9.19340088653784,0.274,0.001,0.0,8,Slc38a5
0.0,8.78060537878267,0.829,0.017,0.0,8,Inmt
0.0,8.7130126852376,0.893,0.006,0.0,8,Pdgfra
0.0,8.6300081764012,0.326,0.002,0.0,8,Plcxd3
0.0,8.58933947353413,0.121,0.0,0.0,8,Serpina3c
0.0,8.55083007408584,0.274,0.001,0.0,8,Gm38407
0.0,8.48235643137073,0.233,0.001,0.0,8,Gdf10
0.0,8.47542933622946,0.535,0.002,0.0,8,Col13a1
0.0,8.43132267747237,0.154,0.0,0.0,8,Gm16263
0.0,8.39006699415453,0.34,0.001,0.0,8,Brinp1
0.0,8.38253596724291,0.276,0.004,0.0,8,Mmp3
0.0,8.36738781214357,0.845,0.007,0.0,8,Abca8a
0.0,8.29153119052238,0.821,0.016,0.0,8,Mfap4
0.0,8.19478775269536,0.106,0.001,0.0,8,Adrb3
0.0,8.19364556136275,0.244,0.003,0.0,8,Ccl11
0.0,8.16940621509618,0.282,0.001,0.0,8,Ptgfr
0.0,8.11833644038591,0.493,0.002,0.0,8,Sult5a1
0.0,8.11546377870574,0.713,0.008,0.0,8,Dpep1
0.0,7.76373416712993,0.838,0.01,0.0,9,Htr2c
0.0,7.69836837051864,0.66,0.006,0.0,9,Fabp1
0.0,7.61770622979888,0.823,0.01,0.0,9,Krt79
0.0,7.50212936288494,0.776,0.009,0.0,9,Ear1
0.0,7.35034305272113,0.982,0.018,0.0,9,Atp6v0d2
0.0,7.31756501765316,0.795,0.008,0.0,9,Cidec
0.0,7.3089330772334,0.453,0.004,0.0,9,Gal
0.0,7.28377235149362,0.386,0.003,0.0,9,Trim29
0.0,7.2113421539474,0.389,0.003,0.0,9,Vstm2a
0.0,7.20191181431749,0.506,0.004,0.0,9,Acaa1b
0.0,7.17406490054539,0.548,0.007,0.0,9,Egfem1
0.0,7.01907832731298,0.131,0.001,0.0,9,Gm47815
0.0,6.94257677930669,0.315,0.003,0.0,9,AU022793
0.0,6.8549520084018,0.926,0.066,0.0,9,Kcnip4
0.0,6.81642875234012,0.485,0.004,0.0,9,Mcoln3
0.0,6.78521795839131,0.642,0.008,0.0,9,Slc9a4
0.0,6.71123780174001,0.331,0.003,0.0,9,Slc39a2
0.0,6.42859452845159,0.997,0.089,0.0,9,Chil3
0.0,6.39961830898897,0.704,0.02,0.0,9,Nrg4
0.0,6.32626265414268,0.217,0.003,0.0,9,Slc9a2
0.0,7.47507657814356,0.845,0.017,0.0,10,Bmp6
0.0,7.42068269122666,0.412,0.004,0.0,10,Myrip
0.0,7.39046590993732,0.615,0.007,0.0,10,Glp1r
0.0,7.35596429022036,0.992,0.026,0.0,10,Ptprb
0.0,7.21737797696104,0.629,0.008,0.0,10,Sema3g
0.0,7.1051453939297,0.952,0.032,0.0,10,Tek
0.0,7.09226375618712,0.59,0.007,0.0,10,Sox17
0.0,6.97011991684151,0.329,0.008,0.0,10,Samd5
0.0,6.94693854489153,0.973,0.027,0.0,10,Cyyr1
0.0,6.93257343604083,0.13,0.002,0.0,10,Pgr
0.0,6.89585753266075,0.942,0.022,0.0,10,Adgrl4
0.0,6.88663821027218,0.323,0.005,0.0,10,Tmem252
0.0,6.78765388553505,0.727,0.014,0.0,10,Ccdc85a
0.0,6.7648666529335,0.397,0.005,0.0,10,Sox11
0.0,6.73084022793185,0.792,0.018,0.0,10,Plvap
